Title,Label
"පැරිසියේ පිහි ප්‍රහාරයට හත්දෙනෙකු අත්අඩංගුවට,International"
"ඉන්දියාවේ කොරෝනා ආසාදිතයන් 58 ලක්ෂය ඉක්මවයි,International"
"ඇමරිකානු ජනපතිවරණයෙන් පසු සාමකාමී බල හුවමාරුවක්^ රිපබ්ලිකන් නායකයා සහතික වෙයි,International"
"දීපිකා පදුකෝන්ට නොතීසි,International"
"නයිජිරියාවේ අධිවේගයක රිය අනතුරකින් 25 ක් මරුට,International"
"නේවාසික වීසා සහිත විදේශිකයින්ට චීනයෙන් සහනයක්,International"
"ලෙබනනයේ හිස්බුල්ලා සටන්කාමීන්ගේ බලකොටුවක පිපිරීමක්,International"
"තස්මේනියාවේ නොගැඹුරු මුහුදට තල් මසුන් 270 ක්,International"
"2024 දී කාන්තාවක් සඳ මතට,International"
"කොරෝනා අවදානම නිසා බ්‍රිතාන්‍යයේ අවන්හල් රාත්‍රී 10ට වැසේ,International"
"ගොවි පනත්වලට ඉන්දීය විපක්ෂයෙන් විරෝධතා,International"
"නවසීලන්තය කොවිඩ්19 පාලන සීමා ඉවත් කරයි,International"
"මාස හයකට පසු ටජ් මහල අද විවෘතයි,International"
"ඉන්දියාවේ නව මරණ වැඩිවද්දී ඇමරිකාවේ ආසාදිතයන් ලක්ෂ හත ඉක්මවයි,International"
"ඩොනල්ඩ් ට්‍රම්ප්ට තැපෑලෙන් විෂ අඩංගු පාර්සලයක්,International"
"ඇමරිකානු ශ්‍රේෂ්ඨාධිකරණයට විනිසුරුවරියක් නම් කරන බව ජනපති ට්‍රම්ප් කියයි,International"
"ප්‍රහාරයක් එල්ල කිරීමට සැලසුම් කළ අල්කයිඩා සාමාජිකයින් 9 දෙනෙකු ඉන්දියාවේදී අත්අඩංගුවට,International"
"ගත වූ පැය 24 තුළ ඉන්දුනීසියාවෙන් කොරෝනා ආසාදිතයින් 4168 ක්,International"
"ටික්ටොක් සහ වී චැට් චීන මෘදුකාංග යෙදවුම්වලට ඇමරිකාව තුළ හෙට සිට තහංචි,International"
"බ්‍රිතාන්‍යයේ දෙවන කොරෝනා රැල්ලක්,International"
"කෝටි තුනක ලෝක ජනතාව සාගින්නෙන් මුදවන්න ජගත් සංවිධානය ධනවතුන්ගෙන් සහය ඉල්ලයි,International"
"ලෝක සෞඛ්‍ය සංවිධානයෙන් අනතුරු ඇඟවීමක්,International"
"‘‘සැලී’’ ඇමරිකාවේ ලක්ෂ පහකට අධික පිරිසකට විදුලිය අහිමි කරයි,International"
"යොෂිහිඩ් සුගා ජපානයේ නව අගමැති වෙයි,International"
"ලෙබනනයේ බීරූට් හි තවත් ගොඩනැගිල්ලක දැවැන්ත ගින්නක් (වීඩියෝ),International"
"ජපානයේ 100 ඉක්මවූ පුද්ගලයින් ගණන 80^000 ඉක්මවයි,International"
"මාස දෙකකට පසු ඕස්ට්‍රේලියාවෙන් කොරෝනා මරණයක් වාර්තා නොවේ,International"
"කොවිඩ් 19 වසංගතයෙන් ලෝකයේ සංවර්ධනය දශක දෙකක් ආපස්සට,International"
"ලැව්ගිනිවලින් ඇමරිකානු ජනපති සටන ඇවිලේ,International"
"ඉන්දියාවේ කොරෝනා මරණ 80^000 ඉක්මවයි,International"
"විද්‍යාවට වැරදී ඇති බව ජනපති ට්‍රම්ප් කියයි,International"
"ටික්-ටොක් ^ මයික්‍රොසොෆ්ට් වෙත විකිණීම නවතී,International"
"ඉන්දියාවේ පාර්ලිමේන්තු මන්ත්‍රීවරුන් 17 දෙනෙකුට කොරෝනා,International"
"ජපාන පාලක පක්ෂයේ නායකත්වයට අමාත්‍ය මණ්ඩල ලේකම් යොෂිහිඬේ තේරී පත්වේ,International"
"ග්‍රීන්ලන්තයේ අයිස් කුට්ටියක් කැඩී යයි,International"
"නේපාලයේ නායයෑමෙන් 12ක් මරුට,International"
"ඕස්ට්‍රේලියාවේ විරෝධතා දැක්වූ 74ක් අල්ලයි,International"
"ඇමරිකාවේ ලැව්ගිනි මරණ ඉහළට,International"
"ඉන්දියාවේ කොරෝනා ආසාදිතයින් හතලිස් හත් ලක්ෂය ඉක්මවයි,International"
"ඇමරිකාව සහ මාලදිවයින අතර ආරක්ෂක ගිවිසුමක්,International"
"කොවිඩ් 19 ගෝලීය වසංගතයට ප්‍රතිචාර දැක්වීමට ජගත් සංවිධානය යෝජනාවක් සම්මත කරගනී,International"
"ජපානයේ භූ කම්පනයක්,International"
"ඉන්දියාවේ කොරෝනා ආසාදිතයන් 46 ලක්ෂය ඉක්මවයි,International"
"ඇෆ්ගන් රජය සහ තලේබාන් සංවිධානය අතර ප්‍රථම සාම සාකච්ඡා වටය අද කටාරයේදී ඇරඹේ,International"
"ඉරාකයේ සිටින ඇමරිකානු හමුදා 3000 දක්වා අඩු කෙරේ,International"
"ඇමරිකාවේ වෙරළාසන්න ප්‍රාන්තවල ලැව්ගිනි - පන්ලක්ෂයක් ආරක්ෂිත ස්ථානවලට,International"
"චීන ජාතිකයින් දහසකට ඇමරිකාවෙන් තහනමක්,International"
"ඇමරිකාවේ ලැව් ගිනිවලින් අක්කර හාරලක්ෂ 60^000ක් විනාශයි,International"
"ඇෆ්ගනිස්ථාන උප ජනාධිපති ඉලක්ක කරගෙන බෝම්බ ප්‍රහාරයකින් 10 ක් මරුට,International"
"ඉන්දු - චීන දේශසීමාවේ වෙඩි තැබීමක්,International"
"ගිලන් රථ රියදුරෙකු කොවිඩ් 19 ආසාදිත තරුණියක් අපයෝජනයට ලක්කරයි,International"
"ඉන්දියාවෙන් වාර්තාගත කොරෝනා මරණ සංඛ්‍යාවක්,International"
"ඉන්දියාව^ හයිපර්සොනික් මිසයිල අත්හදා බලයි,International"
"ඇලෙක්සි නවාල්නි කෝමාවෙන් අවදි වේ,International"
"සුඩානයේ ෂරියා නීතිය ඉවතට,International"
"මධ්‍යම එංගලන්තයේ පිහි ඇනුමකින් අයෙක් මරුට - 7කට තුවාල,International"
"ට්‍රම්ප්ගේ මැතිවරණ ප්‍රවර්ධනයට එක්වූ බෝට්ටු රැසක් දියේ ගිලේ,International"
"ඕස්ට්‍රේලියානු කොවිඩ් 19 කේන්ද්‍රයේ නිරෝධායන සීමා දීර්ඝ කරයි,International"
"පැසිෆික් සාගරයේ භූ කම්පනයක්,International"
"උතුරු කොරියාව මිසයිල අත්හදාබැලීමකට සැරසේ,International"
"චීන කොවිඩ් එන්නත තුන්වන අදියරයේ පරීක්ෂාවට,International"
"හයිෂෙන් ජපානයට ?,International"
"ඉන්දීයාව සහ චීනය දේශසීමා අර්බුදය ගැන සාකච්ඡාවක,International"
"වසර අවසානය වනවිට ඇමරිකාවේ කොරෝනා මරණ දෙගුණ වීමේ අවදානමක්,International"
"බංග්ලාදේශයේ දේවස්ථානයක පිපිරීමකින් 12 දෙනෙකු ජීවිතක්ෂයට,International"
"අනාරක්ෂිත අයුරින් බන්ධනාගාරගත කළ එල් සැල්වදෝරයේ වැරදිකරුවන්,International"
"ලෙබනනයේ බීරූට් පිපිරීම සිදුවූ සුන්බුන් අතරින් හෘද ස්පන්දනයක්,International"
"ට්‍රම්ප්ගෙන් උතුරු කැරොලයිනාවේ ඡන්ද දායකයින්ට වැරදි පූර්වාදර්ශයක්,International"
"බැට් මෑන්ටත් කොරෝනා,International"
"ඉන්දු - චීන දේශසීමා අර්බුදය උග්‍ර අතට,International"
"ගවයින් 5^800 ක් රැගත් නෞකාවක් සොයා මෙහෙයුමක්,International"
"ජපානයේ මීළඟ අගමැති අපේක්ෂකයා,International"
"ඇෆ්ගනිස්ථානය සහ තලෙයිබාන්වරුන් අතර සිරකරුවන් හුවමාරුවක්,International"
"ආපදාවට ලක්වූ ජපාන නෞකාවේ ඉන්ධන ඉවත් කිරීමට ගිය දෙදෙනෙකු අතුරුදන්,International"
"ඉන්දියාවේ දින 7ක ශෝක කාලයක්,International"
"නව එන්නතකට^ යුරෝපීය කොමිසමෙන් ඩොලර් මිලියන 478ක්,International"
"ඉන්දියාව බ්‍රසීලයත් පසුකරන ලකුණු,International"
"නවසීලන්තයේ ඕක්ලන්ඞ් හි සීමා ලිහිල් කෙරේ,International"
"ජපානයේ කැබිනට් මණ්ඩල ලේකම් අගමැති සටනට,International"
"තමිල්නාඩුවේ වසා දැමීම් යළි දීර්ඝ කරයි,International"
"ට්‍රම්ප්ගේ ආධාරකරුවන් කළු ජාතිකයන්ගේ අයිතිවාසිකම් උදෙසා හඬ නගන පිරිස හා ගැටේ,International"
"ලතා මංගේෂ්කාර්ගේ නිවහනට මුද්‍රා තබයි,International"
"චීනයේ අවන්හලක් කඩාවැටී 29 දෙනෙකු මරුට,International"
"ඉන්දියාවෙන් කොරෝනා වෛරස් ලෝක වාර්තාවක්,International"
"ප්‍රංශයේ සහ ඕස්ට්‍රේලියාවේ කොරෝනා ආසාදිත සංඛ්‍යාව ඉහළට,International"
"ලෝරා චන්ඩ මාරුතයෙන් ඇමරිකාවේ ජීවිතහානි රැසක්,International"
"සුරේෂ් රයිනාගේ මාමා සොරමුලක ප්‍රහාරයකින් මරුට,International"
"සමුද්‍ර දූෂණයට එරෙහිව මොරිෂස් දිවයිනේ විරෝධතා,International"
"ලොව පුරා කොරෝනා ආසාදිතයන් දෙකෝටි පනස් ලක්ෂය ඉක්මවයි - නිරෝධායන සීමාවලට එරෙහිව ජර්මනියේ විරෝධතා,International"
"ජනපති පුටින්ට එරෙහිව රුසියානු නගරයක විරෝධතාවක්,International"
"දේශපාලනයට මැදිහත් විය නොහැකි බව ඇමරිකානු සන්නද්ධ හමුදා ප්‍රධානියා කියයි,International"
"ඉන්දියාවෙන් 3 වන දිනටත් 75^000 ඉක්ම වූ කොරෝනා ආසාදිතයන්,International"
"ඇමරිකානු නාවික හමුදාවෙන් චීනයට අභියෝගයක්,International"
"පකිස්තානයේ ජල ගැලීම්වලින් 23ක් මරුට,International"
"පුටින්^ බෙලරූස් ජනරජයට හමුදා යැවීමට සැරසේ,International"
"ක්‍රයිස්චර්ච් ප්‍රහාරකයාට ජීවිතාන්තය දක්වා සිර දඬුවම්,International"
"මාලදිවයිනේ හිටපු ජනපති අබ්දුල් ගයුම්ටත් කොරෝනා,International"
"විපක්ෂ නායකට වස දුන් බවට එල්ලවන චෝදනා රුසියානු රජය ප්‍රතික්ෂේප කරයි,International"
"බාලි සංචාරක දිවයින මේ වසරේදී යළි විවෘත නොවේ,International"
"ට්‍රම්ප්^ ඇමරිකානු ජනාධිපති ධුර අපේක්ෂකත්වයට නිළ වශයෙන් නම් කරයි,International"
"ඇමරිකාවේ තවත් කළු ජාතිකයෙකුට^ පොලීසිය වෙඩි තබයි,International"
"ප්‍රබල සුළි කුණාටු දෙකක් ඇමරිකාවට,International"
"සෝනියා ගාන්ධි කොංග්‍රස් පක්ෂ නායකත්වයෙන් ඉවත්වීමට සැරසෙයි,International"
"ජනපති ට්‍රම්ප් කැලිෆෝනියාවට ජාතික ආපදා තත්ත්වයක් ප්‍රකාශයට පත් කරයි,International"
"ලොව වයස්ගතම පුද්ගලයා මියයයි,International"
"මහත්මාගාන්ධි තුමන්ගේ උපැස් යුවළ පවුම් 260^000කට වෙන්දේසි වෙයි,International"
"රුසියානු විපක්ෂ නායකයා ජර්මනියට පැමිණෙයි,International"
"ඉරාන සම්බාධකවලට ආරක්ෂක මණ්ඩලයේ රටවල් 13ක් එරෙහි වෙයි,International"
"ඉන්දියාවේ කොරෝනා ආසාදිතයන් නැවතත් වාර්තාගත ලෙස ඉහළට,International"
"බිහාරයේ ගං වතුරින් අසූ තුන්ලක්ෂයකට පීඩා,International"
"ඇමරිකාවේ ජනාධිපතිවරණ ප්‍රතිඵල පමාවන ලකුණු,International"
"විෂ ශරීර ගතවූ රුසියානු විපක්ෂ නායකයා ජර්මනියට ?,International"
"ඇමරිකාව අඳුරෙන් මුදා ගන්න ජෝ බයිඩ්න් සූදානම්,International"
"ග්‍රීන්ලන්තයේ හිම දියවීම ඉහළට,International"
"උතුරු කොරියානු නායකයා තවත් බලතල සොහොයුරියට පවරයි,International"
"ඔබාමාගෙන් ට්‍රම්ප්ට වාග් ප්‍රහාරයක්,International"
"රුසියාවේ විපක්ෂ නායක ඇලෙක්සි උග්‍ර විෂ ශරීරගතවීමකින් රෝහලේ,International"
"හමුදා කැරැල්ල නිසා මාලි රාජ්‍යයට ඇඳිරි නීතිය,International"
"ජෝ බයිඩ්න් ඇමරිකානු ජනාධිපතිවරණයට නිල වශයෙන් නම් කරයි,International"
"දකුණු සුමාත්‍රා දූපත්වල භූ කම්පනයක්,International"
"ලොව පුරා කොරෝනා ආසාදිතයන්^ දෙකෝටි විසි දෙලක්ෂය ඉක්මවයි,International"
"චීනයට ඔත්තු සැපයූ හිටපු CIA නිලධාරියෙකු අත්අඩංගුවට,International"
"ලොව වැඩිම උෂ්ණත්වය කැලිෆෝනියාවේ මරණයේ මිටියාවතෙන්,International"
"කැනඩාවේ මුදල් ඇමති ඉල්ලා අස්වෙයි,International"
"ෆේස්බුක් නිසා ඉන්දියාවේ දේශපාලන අර්බුදයක්,International"
"කොරෝනා පාලනයට ස්පාඤ්ඤය ප්‍රසිද්ධ ස්ථානවල දුම්බීම තහනම් කරයි,International"
"ජෝ බයිඩින් ඉන්දියාව සමඟ එක්ව කටයුතු කිරීමට සූදානමින්,International"
"ගතවූ පැය 24 තුළ වැඩිම කොරෝනා මරණ ඉන්දියාවෙන්,International"
"නවසීලන්ත මැතිවරණය කල් යයි,International"
"තායිවානය^ ඇමරිකානු ප්‍රහාරක යානා මිලදී ගැනීමට සැරසේ,International"
"මොරිෂස් දිවයින අසළ ගිළුණු තෙල් නෞකාව දෙකඩ වෙයි,International"
"බෙලරූස් ජනපතිට පුටින්ගේ සහය,International"
"රුසියාව කොරෝනා එන්නත් නිෂ්පාදනය අරඹයි,International"
"ඇමරිකාවේ තැපැල් ඡන්ද ගණනය ගැටළුවක් වෙයි,International"
"ඩොනල්ට් ට්‍රම්ප්ගේ සහෝදරයෙකු වන රොබට් ට්‍රම්ප් අභාවප්‍රාප්ත වෙයි,International"
"ඉරානය ගැන පුටින්ගේ සමුළුවට එක් නොවන බව ට්‍රම්ප් කියයි,International"
"නාඳුනන ආකාශ වස්තු හඳුනා ගැනීමට පෙන්ටගනයෙන් නව ඒකකයක්,International"
"ලතින් ඇමරිකාවේ කොරෝනා ආසාදිතයන් සංඛ්‍යාව මිලියන 6 ඉක්මවයි,International"
"මෙක්සිකෝවේ ආගමන විගමන නිලධාරින් දහසක් ඉවතට,International"
"ඉන්දියාවෙන් කොරෝනා එන්නත් 3ක්,International"
"ජපානය දෙවන ලෝක යුද්ධයේ නිමාව අනුස්මරණය කරයි,International"
"ඉරාන අවි සම්බාධක දීර්ඝ කිරීම ජගත් ආරක්ෂක මණ්ඩලය ප්‍රතික්ෂේප කරයි,International"
"ඉන්දියාව අද 74 වන නිදහස සමරයි,International"
"වියට්නාමය රුසියානු කොරෝනා එන්නත මිලදී ගැනිමට යයි,International"
"කමලා හැරිස්^ උප ජනාධිපති ධුරයට නුසුදුසු බවට ට්‍රම්ප්ගෙන් ඉඟියක්,International"
"නරේන්ද්‍ර මෝදි ඉන්දියාවේ දීර්ඝතම කාලයක් පාලන බලය හෙඹවූ කොංග්‍රස් නොවන අගමැතිවරයා බවට පත්වෙයි,International"
"ඊශ්‍රායලය සහ එක්සත් අරාබි එමීරය^ ඓතිහාසික ගිවිසුමකට එළඹේ,International"
"උතුරු කොරියාවේ ජනගහනයෙන් සියයට 60කට ආහාර ගැන ගැටලූවක්,International"
"උතුරු කොරියාවේ න්‍යෂ්ටික අවි නිපදවන ප්‍රධාන බලාගාරය වසා දැමීමේ අවදානමක්,International"
"මහතීර් මොහොමඩ්ගෙන් නව පක්ෂයක්,International"
"ගතවූ පැය 24 ප්‍රංශයෙන් කොරෝනා ආසාදිතයන් 2^524 ක්,International"
"අයහපත් කාලගුණයෙන් නේපාලයේ 198 ක් මරුට,International"
"රුසියානු කොවිඩ් 19 එන්නත අත්හදා බලන්න පිලිපීනය සූදානම්,International"
"ඊශ්‍රායලය ගාසා තීරය යළි වසා දමයි,International"
"ඉන්දියාවේ කොරෝනා ආසාදිතයන් සහ මරණ තවත් ඉහළට,International"
"ධවල මන්දිරය අසළ වෙඩි තැබීමක්,International"
"ලෙබනන පාර්ලිමේන්තුව අසළ විරෝධතාවට කඳුළුගෑස්,International"
"ට්‍රම්ප්ට එරෙහි චීන සයිබර් ප්‍රහාරයක් ගැන හෙළිදරව්වක්,International"
"මන්මෝහන් සිංගෙන් ඉන්දියාවේ ආර්ථික අර්බුදයට උපදෙස්,International"
"ලෙබනනයේ තොරතුරු අමාත්‍යවරිය ඉල්ලා අස්වෙයි,International"
"භාණ්ඩ 101ක් ආනයනය නතර කිරීමට ඉන්දීය ආරක්ෂක අමාත්‍යාංශය සැරසේ,International"
"ලෙබනන් ආධාර සමුළුව අද,International"
"ලෙබනනයේ විරෝධතා උත්සන්න වෙයි,International"
"ඉන්දියාවේ කොරෝනා රෝගීන් රැඳවූ හෝටලයක ගින්නකින් 9ක් මරුට,International"
"බ්‍රසීලයේ කොරෝනා මරණ ලක්ෂය ඉක්මවයි - ආසාදිතයන් තිස් ලක්ෂයක්,International"
"ඉන්දියාවෙන් නැවතත් දිනකදී කොරෝනා ආසාදිතයන් 61^000 ක්,International"
"ටික්ටොක් තහනමට එරෙහිව චීනය නීතිමගට,International"
"කේරළයේ නායයාමකින් 13 දෙනෙකු ජිවිතක්ෂයට,International"
"ඉන්දියාවේ කොරෝනා රෝහලක ගින්නකින් අටදෙනෙකු ජීවිතක්ෂයට,International"
"හිරෝෂිමාව පරමාණු බෝම්බ ප්‍රහාරයේ 75 වන වසර අනුස්මරණය කරයි,International"
"ඩුබායි - අජ්මාන් වෙළඳපොලේ ගින්න මැඩපවත්වයි,International"
"එක්සත් අරාබි එමීර් රාජ්‍යයේ අජ්මාන් ප්‍රදේශයේ සුපිරි වෙළඳ සංකීර්ණයක දැවැන්ත ගින්නක්,International"
"බීරුට් පිපිරීමෙන් නිවාස දෙලක්ෂයකට හානි,International"
"ස්පාඤ්ඤයේ ජුවාන් කාලෝස් රජු රට හැර යයි,International"
"උතුරු කොරියාව මිසයිලවලට යෙදිය හැකි න්‍යෂ්ටික අවි නිපදවා ඇති බවට^ ජගත් සංවිධාන වාර්තාවක්,International"
"ඇමරිකාවේ නැගෙනහිර වෙරළට මාරුතයක්,International"
"නාසා ගඟනගාමීන් ස්පේස් එක්ස් යානයෙන් පෘථිවියට,International"
"ඇමරිකානු ජනාධිපතිවරණය නොවැම්බර් 03,International"
"කොරෝනා ආසාදිත ඉන්දීය ස්වදේශ කටයුතු ඇමති අමාත්‍ය මණ්ඩල හමුවටත් එක්වූ බවට තොරතුරු,International"
"පැය 24ක් තුළ ඉන්දියාවේ තවත් කොරෝනා ආසාදිතයන් 54^000ක්,International"
"කෲ ඩ‍්‍රැගන් ගගන ගාමීන් ජාත්‍යන්තර අභ්‍යවකාශ මධ්‍යස්ථානයෙන් නික්මේ,International"
"පන්ජාබයේ විෂ මත්පැන් මරණ 86 දක්වා ඉහළට,International"
"දකුණු අප්‍රිකාවේ කොරෝනා ව්‍යාප්තිය ඉහළට,International"
"ඉන්දියාවේ නැව් තටාකාංගනයක දොඹකරයක් කඩා වැටී 10 දෙනෙකු මරුට,International"
"කොවිඩ් - 19 එන්නත් මාත්‍රා මිලියන 100 කට ඇමරිකාව ගිවිසුම් ගත වෙයි,International"
"ඇමරිකාවත් ටික්ටොක් තහනම් කිරීමට සූදානම්,International"
"සැනිටයිසර් බී ඉන්දියාවේ 10ක් මරුට,International"
"වියට්නාමයේ පළමු කොරෝනා මරණය වාර්තා වෙයි,International"
"ඇෆ්ගනිස්ථානයේ මරාගෙන මැරෙන බෝම්බ ප්‍රහාරයකින් 17 දෙනෙකු මරුට,International"
"ජනපතිවරණය කල් දමන්නැයි ට්‍රම්ප් ඉල්ලයි,International"
"කොරෝනා ආසාදිතයින් එක්කෝටි හැත්තෑ දෙලක්ෂය ඉක්මවයි,International"
"ජපානයේ පිපිරීමකින් අයෙක් මරුට - 17 කට තුවාල,International"
"ජර්මනියෙන් ඇමරිකානු හමුදා ඉවත් කරගැනීමට ට්‍රම්ප් සැරසේ,International"
"ජනපති ට්‍රම්ප්^ ඔරිගෝන් නගරයෙන් සිය හමුදාව ඉවත් කර ගනී,International"
"සුඩානයේ ගැටුම්වලින් 60ක් මරුට,International"
"චීනයේ ඇමරිකානු කොන්සල් කාර්යාලය වසා දමයි,International"
"මාස 3ක විරාමයකින් පසු වියට්නාමයට යළි කොරෝනා,International"
"කොරෝනාවෙන් මිදෙන්න - ප්‍රතිඥාවකට එළඹෙන්න - අගමැති මෝදි ඉන්දියානුවන්ගෙන් ඉල්ලයි,International"
"ඇමරිකාවට චන්ඩ මාරුතයක්,International"
"ඉන්දියාවේ දිනක කොරෝනා ආසාදිතයන් නැවතත් 48^000 ඉක්මවයි,International"
"කොරෝනා වෛරස් ගෝලීය ව්‍යාප්තිය තවදුරටත්,International"
